opinion_id,fk_origin_article_id,citation,sentiment_score,inconsistency_flag,inconsistency_with_id,inconsistency_comment,controversy_score,relevancy_score,contribution_score,opinion_hotness,is_selected,person_name
1,50,"Modern projects favor closed-loop systems, like Nant de Drance, which don’t impact river systems.",0.6,False,[],,0.6,0.95,0.85,0.775,True,Andrew Blakers
2,49,"The bill would provide $1 billion in grants and loans to affordable housing units administered by the Department of Housing and Urban Development to increase energy or water efficiency, improve indoor air quality, make clean energy or electrification upgrades or address climate resilience needs.",0.65,False,[],,0.3,0.95,0.85,0.655,True,Unspecified
3,50,Gleitz hopes Europe embraces pumped storage hydropower to achieve clean power. He notes Nant de Drance as a key step on this path.,0.65,False,[],,0.3,0.9,0.8,0.625,True,Gleitz
4,50,"Robert Gleitz, delegate of the board of directors of Nant de Drance, stated that the plant can switch between storing and providing electricity with a ‘flick of a switch’ and plays a vital role in stabilizing Europe's grid during the transition to renewable energy.",0.85,False,[],,0.3,1.0,1.0,0.72,True,Robert Gleitz
5,49,Tax credits increase for solar projects in low-income communities.,0.65,False,[],,0.6,0.95,0.85,0.775,True,Unspecified
6,49,"Executive director of the National Energy Assistance Directors Association stated that the measures would be more comprehensive than existing weatherization programs, available to all households.",0.6,False,[],,0.4,0.95,0.85,0.695,True,Mark Wolfe
7,49,The bill represents the largest climate investment in US history.,0.8,False,[],,0.6,1.0,1.0,0.84,True,Unspecified
8,49,"Senator Debbie Stabenow of Michigan stated the tax credit is limited to vehicles under certain price points and has income thresholds. The bill replaces a previous, lifetime-capped tax credit.",-0.25,False,[],,0.5,1.0,1.0,0.8,True,Debbie Stabenow
9,48,Martindale believes the same could be done for avocados because ‘people want to know that those avocados have been grown on land that is responsibly managed.’ His team are investigating uses for avocado byproducts.,0.25,False,[],,0.2,0.3,0.4,0.295,False,Dr. Wayne Martindale
10,48,"It can be actually a positive solution and we should just embrace it because we know that we can’t carry on living like this,\"" says Shokouhi.” She developed the Ecovado as part of her Material Futures master's degree.",0.65,False,[],,0.3,0.9,0.8,0.625,True,Arina Shokouhi
11,47,"He said, ‘It doesn’t really have to be that way.’ He and his wife Stephanie aim to popularize biodegradable pots using coconut fiber, cow manure, and paper pulp.",0.6,False,[],,0.3,0.7,0.6,0.505,False,Andreas Szankay
12,47,"so that you’re not using fuel emissions and things like that to procure your plants,\"" she said.”",0.6,False,[],,0.3,0.9,0.8,0.625,True,Bidwell
13,47,"The writer acknowledges their own experience as a new plant parent, noting the rise in Google searches for popular flora during the pandemic.",0.0,True,"[2, 5, 7]","The new citation shifts focus from policy to personal experience, contrasting sharply with previous statements about broad financial investments and climate action.",0.4,0.75,0.6,0.5575,False,Unspecified
14,47,"Dr. Oki noted the high plant densities and complex systems involved in indoor plant production, highlighting the significant resource requirements – energy, labor, water, fertilizers, and potting mix.",-0.25,False,[],,0.5,0.8,0.7,0.645,True,Dr. Loren R. Oki
15,46,"Women bring differentiated thinking, and capacity to the table. It makes no sense to sit around the table and make major decisions while excluding a portion of your intellectual capital.",0.25,False,[],,0.3,0.7,0.6,0.505,False,Kenyan Minister
16,47,"Being a good steward of your plants is really important,\"" Bidwell said.”",-0.25,True,[12],"The new statement shifts from a general stewardship focus to specifically mentioning fuel emissions, suggesting a narrower scope than the previous citation.",0.3,0.7,0.6,0.505,False,Bidwell
17,46,"She believes women's leadership is critical in major decision-making processes, particularly within the African Continental Free Trade Area, to avoid societal detriment.",0.0,False,[],,0.1,0.3,0.2,0.185,False,Helena Geingos
18,46,"Namibia’s first lady championed gender equality and discussed Namibia's green hydrogen plans, including intra-African trade and exports to South Africa.",0.65,False,[],,0.6,0.95,0.85,0.775,True,Monica Geingos
19,45,"The European Commission’s ‘RePowerEU’ proposal increased the renewables target from 40% to 45% by 2030, driving a ramp-up in renewable energy measures.",0.65,False,[],,0.5,1.0,1.0,0.8,True,European Commission
20,45,Senior analyst at Ember stated: ‘Wind and solar are already helping European citizens.’,0.65,False,[],,0.3,1.0,0.9,0.685,True,Chris Rosslowe
21,44,"IEA Executive Director Fatih Birol stated that CO2 emissions are growing less quickly this year due to the deployment of renewables and EVs, driven by government policy.",0.65,False,[],,0.6,0.95,0.85,0.775,True,Fatih Birol
22,44,"The IEA forecasts EU emissions to decrease this year, despite an increase in coal use due to rising gas prices and Russian supply cuts.",-0.25,True,"[2, 5, 7]",Here are a few options for summarizing the comment within 200 characters: **Option 1 (Concise):** > Shifts focus from renewables to EU coal/emissions concerns – a stark contrast to past investment p,0.6,0.8,0.7,0.685,True,Unspecified
23,44,"The International Energy Agency published its forecast in a report Wednesday, showing CO2 emissions are on track for an increase of 300 million metric tons in 2022, reaching 33.8 billion tons.",-0.8,False,[],,0.7,1.0,0.9,0.845,True,International Energy Agency
24,43,"Ayukegba stated the need to invest significantly into generating power for Africa’s 600 million people without energy access and 900 million lacking clean cooking fuels, aiming to end energy poverty by 2030.",0.85,False,[],,0.5,1.0,1.0,0.8,True,Verner Ayukegba
25,43,"Ayukegba emphasized a need to consider social aspects during energy transition, highlighting the impact on communities reliant on fossil fuel industries. He suggested gas-to-power solutions as a way to avoid job losses and prioritize people's livelihoods.",-0.25,False,[],,0.6,0.8,0.7,0.685,True,Ayukegba
26,43,"Ayukegba stated that African transitions to renewables must be realistic, considering diverse contexts and avoiding imposing solutions from developed nations. He also expressed disappointment over the lack of serious consideration given to African voices at COP26.",-0.33,False,[],,0.6,0.9,0.8,0.745,True,Ayukegba
27,42,I’ve literally had tenants come up to me and thank me for the system and tell me that they see a real savings in their actual electricity unit use with the the rate that we have from Con Edison.,0.65,False,[],,0.3,0.9,0.8,0.625,True,Lincoln Eccles
28,41,"IEA executive director Fatih Birol stated that the energy crisis is driving rapid renewable growth and represents a historic turning point towards a cleaner energy system, crucial for limiting global warming to 1.5°C.",0.85,False,[],,0.3,0.95,0.85,0.655,True,Fatih Birol
29,42,"Here are a few options within 300 characters, prioritizing clarity and impact: **Option 1 (Most Concise):** “We transform buildings into sustainable spaces,” says CEO Donnel Baird. “Like Tesla, we replace fossil fuels with smart, electric solutions – good for our planet & families.” **Option 2 (S",0.85,False,[],,0.2,1.0,1.0,0.68,True,Donnel Baird
30,41,Reported contributing reporting on the shift towards renewables in Europe.,0.25,False,[],,0.5,0.9,0.8,0.705,True,Julia Horowitz
31,40,"The price of SAF is four to five times that of conventional jet fuel and it’s limited in supply. Only two bodies are allowed to certify it, so until we have more and until governments intervene to incentivize production, SAF will continue to be limited,"" she says.",-0.8,False,[],,0.6,0.9,0.8,0.745,True,Fatima AlQubaisi
32,40,What’s nice about this is that it’s done via specific algorithms that make the system become smarter the more we use it.,0.6,False,[],,0.3,0.9,0.8,0.625,True,AlQubaisi
33,40,"It’s essentially a call to action…let’s try everything possible to decarbonize.\"" – Mariam AlQubaisi, head of sustainability at Etihad.”",0.85,False,[],,0.3,0.95,0.85,0.655,True,Mariam AlQubaisi
34,39,Julia Horowitz contributed to this report.,0.0,False,[],,0.5,0.7,0.6,0.585,False,Julia Horowitz
35,39,European Commission President Ursula von der Leyen stated that the package of measures will ensure a ‘level playing field’ globally and that Europe is determined to lead the clean tech revolution.,0.85,False,[],,0.6,0.9,0.8,0.745,True,Ursula von der Leyen
36,38,"Green compared the internet to a hammer, stating that its value depends on how it's used. He also drew an analogy to the printing press and its role in disseminating information during the Protestant Reformation.",0.0,False,[],,0.2,0.6,0.5,0.405,False,Hank Green
37,38,"Green stated that social media companies prioritize profit over pro-social use of technology, lacking consideration for human outcomes.",-0.25,False,[],,0.6,0.85,0.75,0.715,True,Rev. Michael Green
38,37,Beans should be used within 12 months for optimal flavor and texture after freezing.,0.0,True,"[2, 5, 7]",The new citation abruptly shifts focus from climate policy to food preservation; a stark contrast to previous financial and energy investment discussions.,0.2,0.1,0.1,0.14,False,Unspecified
39,36,"Rep. Amodei voted to repeal IRA incentives for EVs, citing unrealistic transition pace, exclusion of Nevada companies from jobs, and concerns about inflation and debt.",-0.85,False,[],,0.75,0.95,0.85,0.835,True,Amodei
40,37,Recommends using about a gallon of water per pound of beans when blanching.,0.0,True,"[2, 5, 7]","Here are a few options for summarizing the comment, all under 200 characters: **Option 1 (Concise):** > Shift in focus! New citation pivots from climate policy to a surprising detail on blanching wa",0.0,0.1,0.1,0.06,False,Unspecified
41,36,Republican voters' perception of the clean energy transition as a threat will impact climate action resistance.,-0.8,True,"[22, 13, 2, 5, 7]","The new citation shifts focus from broad policy to a specific political demographic’s resistance, contrasting sharply with previous reports on emissions forecasts and infrastructure investments.",0.7,0.9,0.8,0.785,True,Unspecified
42,36,President Joe Biden’s administration is facing legal challenges from Republican state attorneys general regarding proposals to speed the transition toward a low-carbon economy.,-0.25,False,[],,0.7,0.9,0.8,0.785,True,Joe Biden
43,36,"Leiserowitz stated that Republicans believe focusing on ‘culture war’ is a better strategy than discussing jobs and the economy regarding clean energy investments, even in areas benefiting from those investments.",-0.6,False,[],,0.7,0.9,0.8,0.785,True,Anthony Leiserowitz
44,36,New York Republican Rep. Brandon Williams’ district is receiving a massive EV semiconductor plant investment ($1 billion+).,-0.25,False,[],,0.5,0.8,0.7,0.645,True,Brandon Williams
45,36,"What we need it to become is the defense authorization act, where every single congressional district has a piece of it – and it can’t be undone and we are set on this path of reaching our goals because of how diffuse it is,\"" she says.",0.25,False,[],,0.6,0.9,0.8,0.745,True,Lori Lodes
46,36,"Florida Gov. Ron DeSantis recently organized a coalition of 19 Republican governors to fight such ESG measures, which he derides as ‘woke capitalism.’",-0.8,False,[],,0.9,1.0,1.0,0.96,True,Ron DeSantis
47,36,"Only a small percentage of even moderate Republicans cite climate as an important issue, and support for developing more clean energy is dropping.",-0.6,False,[],,0.6,0.9,0.8,0.745,True,Leiserowitz
48,35,"A number of jobs were lost in South Africa. For us in the Eastern Cape, the unemployment rate is sitting at over 50%.",-0.8,False,[],,0.7,0.6,0.4,0.57,False,Asanda Xawuka
49,35,"It’ll start replacing heavy fuel oils on ships and it’ll replace diesel. That will become the fuel of the future, particularly in the maritime industry,"" says Colin Loubser, managing director of Hive Energy Africa.",0.85,False,[],,0.6,1.0,0.9,0.805,True,Colin Loubser
50,34,"The band wrote on social media Thursday: ‘It’s the moment you’ve been waiting for… taking The Saviors Tour on the road all summer long next year to celebrate 30 years of ‘Dookie,’ 20 years of ‘American Idiot’ + our new album ‘Saviors’!!!’",0.0,False,[],,0.1,0.5,0.3,0.27,False,Billie Joe Armstrong
51,33,"With this system we create biodiversity, which means better soil, healthier crops and a bigger yield.\"" He says Sand to Green’s plantations could generate 1.5 times more yield than monoculture plantations.",0.65,False,[],,0.3,0.8,0.7,0.565,False,Ben Moussa
52,33,"Desertification is the future of a lot of countries today,\"" she says. \""Our solution is using agroforestry to create a new kind of agriculture that is sustainable and that can be resilient in front of climate change.",0.0,False,[],,0.3,0.8,0.7,0.565,False,Wissal Ben Moussa
53,32,"Jenkins, a professor at Princeton University, believes long-duration storage technologies like hot rocks have an advantage over chemical batteries due to their scalability and cost benefits. He is also a consultant for Rondo.",0.25,False,[],,0.6,0.9,0.8,0.745,True,Jesse Jenkins
54,32,"Rondo CEO John O’Donnell stated that their infrared heating technology is expected to last 100 years, according to third-party engineering reports.",0.25,False,[],,0.6,0.9,0.8,0.745,True,John O’Donnell
